episode,step,timestamp,people_count,action,reward,epsilon
0,0,1764248127.4968328,0,0,3,0.19990000000000002
0,1,1764248127.4968328,0,0,3,0.19980005000000003
0,2,1764248127.4968328,0,0,3,0.19970014997500005
0,3,1764248127.4968328,1,0,2,0.19960029990001255
0,4,1764248127.4968328,1,0,3,0.19950049975006254
0,5,1764248127.4968328,2,0,0,0.19940074950018752
0,6,1764248127.4968328,0,0,3,0.19930104912543745
0,7,1764248127.4968328,1,1,2,0.19920139860087474
0,8,1764248127.4968328,1,0,3,0.1991017979015743
0,9,1764248127.4968328,0,0,3,0.19900224700262353
0,10,1764248127.4968328,2,1,0,0.19890274587912224
0,11,1764248127.4968328,2,0,1,0.1988032945061827
0,12,1764248127.4968328,2,0,1,0.19870389285892961
0,13,1764248127.4968328,1,1,6,0.19860454091250015
0,14,1764248127.4968328,2,1,0,0.19850523864204392
0,15,1764248127.4968328,3,0,0,0.1984059860227229
0,16,1764248127.4968328,3,0,1,0.19830678302971155
0,17,1764248127.4968328,3,0,1,0.19820762963819671
0,18,1764248127.4968328,3,0,1,0.19810852582337762
0,19,1764248127.4968328,4,0,0,0.19800947156046594
0,20,1764248127.4968328,3,1,4,0.19791046682468572
0,21,1764248127.4968328,3,1,1,0.1978115115912734
0,22,1764248127.4968328,3,0,1,0.19771260583547776
0,23,1764248127.4968328,4,1,0,0.19761374953256003
0,24,1764248127.4968328,5,2,-3,0.19751494265779376
0,25,1764248127.4968328,5,0,-2,0.19741618518646487
0,26,1764248127.4968328,6,0,-3,0.19731747709387165
0,27,1764248127.4968328,5,1,1,0.19721881835532473
0,28,1764248127.4968328,6,2,-3,0.19712020894614707
0,29,1764248127.4968328,6,1,-2,0.197021648841674
0,30,1764248127.4968328,7,0,-3,0.19692313801725317
0,31,1764248127.4968328,5,1,1,0.19682467644824456
0,32,1764248127.4968328,5,1,-2,0.19672626411002045
0,33,1764248127.4968328,7,1,-3,0.19662790097796545
0,34,1764248127.4968328,6,2,1,0.19652958702747647
0,35,1764248127.4968328,6,2,-2,0.19643132223396276
0,36,1764248127.4968328,8,0,-6,0.19633310657284578
0,37,1764248127.4968328,7,1,1,0.19623494001955938
0,38,1764248127.4968328,6,1,1,0.19613682254954962
0,39,1764248127.4968328,9,0,-6,0.19603875413827485
0,40,1764248127.4968328,8,1,-2,0.19594073476120571
0,41,1764248127.4968328,7,1,1,0.19584276439382511
0,42,1764248127.4968328,8,1,-6,0.1957448430116282
0,43,1764248127.4968328,7,2,1,0.1956469705901224
0,44,1764248127.4968328,9,0,-6,0.19554914710482735
0,45,1764248127.4968328,7,2,1,0.19545137253127495
0,46,1764248127.4968328,9,2,-6,0.19535364684500933
0,47,1764248127.4968328,8,1,-2,0.19525597002158684
